examine,id,members,lowalch,limit,value,highalch,icon,name,high,highTime,low,lowTime
Fabulously ancient range protection crafted from white dragonhide.,10332,True,20240.0,8.0,50600.0,30360.0,3rd Age range legs.png,3rd Age range legs,15299000.0,1789603513.0,14312014.0,1789651990.0
Fabulously ancient range protection crafted from white dragonhide.,10330,True,20320.0,8.0,50800.0,30480.0,3rd Age range top.png,3rd Age range top,24714000.0,1789645381.0,23855000.0,1789652069.0
Fabulously ancient mage protection enchanted in the 3rd Age.,10340,True,20240.0,8.0,50600.0,30360.0,3rd Age robe.png,3rd Age robe,33309864.0,1789650328.0,32150000.0,1789647297.0
Fabulously ancient mage protection enchanted in the 3rd Age.,10338,True,20320.0,8.0,50800.0,30480.0,3rd Age robe top.png,3rd Age robe top,130000000.0,1789650402.0,126096999.0,1789625086.0
Fabulously ancient range protection crafted from white dragonhide.,10336,True,20200.0,8.0,50500.0,30300.0,3rd Age vambraces.png,3rd Age vambraces,12333000.0,1789627603.0,11345000.0,1789629224.0
A beautifully crafted wand infused by ancient wizards.,12422,True,60000.0,8.0,150000.0,90000.0,3rd Age wand.png,3rd Age wand,279000000.0,1789485031.0,267480000.0,1789548494.0
A big do about nothing.,10392,True,800.0,4.0,2000.0,1200.0,A powdered wig.png,A powdered wig,5084.0,1789647626.0,5026.0,1789652201.0
A heap of ashes.,25775,True,1.0,7500.0,1.0,1.0,Abyssal ashes.png,Abyssal ashes,2500.0,1789654208.0,2500.0,1789654378.0
Elements of deceased Abyssal Sires have been fused together.,13263,True,104000.0,8.0,260000.0,156000.0,Abyssal bludgeon.png,Abyssal bludgeon,16997994.0,1789654377.0,16621017.0,1789653735.0
Makes using the Abyss just slightly safer.,11095,True,1680.0,10000.0,4200.0,2520.0,Abyssal bracelet.png,Abyssal bracelet(5),2190.0,1789652012.0,2102.0,1789650801.0
Something sharp from the body of a defeated Abyssal Sire.,13265,True,46000.0,8.0,115001.0,69000.0,Abyssal dagger.png,Abyssal dagger,1436028.0,1789645914.0,1410000.0,1789653400.0
Something sharp and poisonous from the body of a defeated Abyssal Sire.,13267,True,46000.0,8.0,115002.0,69001.0,Abyssal dagger (p).png,Abyssal dagger (p),1449526.0,1789642177.0,1350000.0,1789649228.0
Something sharp and very poisonous from the body of a defeated Abyssal Sire.,13269,True,46001.0,8.0,115003.0,69001.0,Abyssal dagger (p+).png,Abyssal dagger (p+),1546000.0,1789629419.0,1357691.0,1789651011.0
Something sharp and extremely poisonous from the body of a defeated Abyssal Sire.,13271,True,46001.0,8.0,115004.0,69002.0,Abyssal dagger (p++).png,Abyssal dagger (p++),1502479.0,1789654213.0,1454260.0,1789653960.0
A weapon from the Abyss.,4151,True,48000.0,70.0,120001.0,72000.0,Abyssal whip.png,Abyssal whip,792838.0,1789654338.0,778785.0,1789654324.0
A mighty sceptre used in long forgotten battles.,27676,True,48000.0,8.0,120000.0,72000.0,Accursed sceptre (au).png,Accursed sceptre (au),2807674.0,1789654386.0,2711215.0,1789653725.0
"A mighty sceptre from long forgotten battles, corrupted by the power of Vet'ion.",27662,True,70000.0,8.0,175000.0,105000.0,Accursed sceptre (u).png,Accursed sceptre (u),2770021.0,1789654422.0,2674391.0,1789653232.0
These logs are longer than normal.,2862,True,1.0,13000.0,4.0,2.0,Achey tree logs.png,Achey tree logs,365.0,1789654417.0,365.0,1789650333.0
Plant this in a plantpot of soil to grow a sapling.,5312,True,2.0,200.0,6.0,3.0,Acorn 5.png,Acorn,115.0,1789653692.0,86.0,1789654337.0
A two handed sword.,1317,False,2560.0,125.0,6400.0,3840.0,Adamant 2h sword.png,Adamant 2h sword,3427.0,1789653317.0,3450.0,1789654245.0
Arrows with adamant heads.,890,False,32.0,11000.0,80.0,48.0,Adamant arrow 5.png,Adamant arrow,25.0,1789654308.0,25.0,1789654358.0
Venomous-looking arrows.,891,True,32.0,11000.0,80.0,48.0,Adamant arrow(p) 5.png,Adamant arrow(p),177.0,1789621995.0,40.0,1789632606.0
Venomous-looking arrows.,5620,True,32.0,11000.0,80.0,48.0,Adamant arrow(p+) 5.png,Adamant arrow(p+),161.0,1789652887.0,100.0,1789589990.0
Venomous-looking arrows.,5626,True,32.0,11000.0,80.0,48.0,Adamant arrow(p++) 5.png,Adamant arrow(p++),27.0,1789646482.0,18.0,1789653803.0
I can make some arrows with these.,43,True,16.0,10000.0,40.0,24.0,Adamant arrowtips.png,Adamant arrowtips,102.0,1789654396.0,100.0,1789654132.0
A powerful axe.,1357,False,512.0,40.0,1280.0,768.0,Adamant axe.png,Adamant axe,507.0,1789653868.0,461.0,1789654166.0
A vicious looking axe.,1371,False,1664.0,125.0,4160.0,2496.0,Adamant battleaxe.png,Adamant battleaxe,2368.0,1789654274.0,2368.0,1789654371.0
Adamantite crossbow bolts.,9143,True,23.0,11000.0,58.0,34.0,Adamant bolts 5.png,Adamant bolts,159.0,1789654211.0,150.0,1789654285.0
Some poisoned adamantite bolts.,9290,True,23.0,11000.0,58.0,34.0,Adamant bolts (p) 5.png,Adamant bolts (p),183.0,1789206063.0,370.0,1789435121.0
Some poisoned adamantite bolts.,9297,True,23.0,11000.0,58.0,34.0,Adamant bolts (p+) 5.png,Adamant bolts (p+),506.0,1789621079.0,101.0,1789620199.0
Super poisoned adamantite bolts.,9304,True,23.0,11000.0,58.0,34.0,Adamant bolts (p++) 5.png,Adamant bolts (p++),652.0,1789627740.0,560.0,1789627701.0
Unfeathered adamantite crossbow bolts.,9380,True,1.0,13000.0,1.0,1.0,Adamant bolts(unf) 5.png,Adamant bolts(unf),176.0,1789654427.0,176.0,1789654129.0
These will protect my feet.,4129,True,768.0,125.0,1920.0,1152.0,Adamant boots.png,Adamant boots,1100.0,1789654090.0,791.0,1789654245.0
Blunt adamantite arrow... ouch.,4798,True,38.0,11000.0,95.0,57.0,Adamant brutal 5.png,Adamant brutal,302.0,1789651842.0,276.0,1789654015.0
A diamond topped cane.,12377,True,576.0,4.0,1440.0,864.0,Adamant cane.png,Adamant cane,325.0,1789651662.0,255.0,1789633425.0
Ammo suited for a boat's cannon.,31912,True,72.0,11000.0,180.0,108.0,Adamant cannonball.png,Adamant cannonball,231.0,1789654321.0,230.0,1789654078.0
A series of connected metal rings.,1111,False,1920.0,125.0,4800.0,2880.0,Adamant chainbody.png,Adamant chainbody,2729.0,1789654272.0,2550.0,1789654385.0
Ammo suited for a boat's cannon.,31926,True,144.0,,360.0,216.0,Adamant chainshot cannonball.png,Adamant chainshot cannonball,907.0,1789606046.0,840.0,1789606234.0
A set of fighting claws.,3100,True,480.0,125.0,1200.0,720.0,Adamant claws.png,Adamant claws,1798.0,1789535901.0,1798.0,1789652132.0
An adamantite crossbow.,9183,True,706.0,70.0,1767.0,1060.0,Adamant crossbow.png,Adamant crossbow,5494.0,1789652901.0,903.0,1789653589.0
An unstrung adamantite crossbow.,9463,True,693.0,10000.0,1733.0,1039.0,Adamant crossbow (u).png,Adamant crossbow (u),578.0,1789624047.0,601.0,1789650608.0
Short and deadly.,1211,False,320.0,125.0,800.0,480.0,Adamant dagger.png,Adamant dagger,387.0,1789654103.0,354.0,1789654401.0
A very dangerous poisoned dagger.,1227,True,320.0,125.0,800.0,480.0,Adamant dagger(p).png,Adamant dagger(p),333.0,1789395811.0,60.0,1789613209.0
A very dangerous poisoned dagger.,5676,True,320.0,125.0,800.0,480.0,Adamant dagger(p+).png,Adamant dagger(p+),5819.0,1789516856.0,1915.0,1789164923.0
A very dangerous poisoned dagger.,5694,True,320.0,125.0,800.0,480.0,Adamant dagger(p++).png,Adamant dagger(p++),3503.0,1789262334.0,250.0,1789593043.0
A deadly throwing dart with an adamant tip.,810,True,26.0,11000.0,65.0,39.0,Adamant dart.png,Adamant dart,30.0,1789654321.0,29.0,1789653889.0
A deadly-looking dart tip made of adamant - needs feathers for flight.,823,True,14.0,20000.0,36.0,21.0,Adamant dart tip.png,Adamant dart tip,186.0,1789654349.0,182.0,1789654352.0
A deadly poisoned dart with an adamant tip.,816,True,26.0,11000.0,65.0,39.0,Adamant dart(p).png,Adamant dart(p),109.0,1789648159.0,22.0,1789650148.0
A deadly poisoned dart with an adamant tip.,5633,True,26.0,11000.0,65.0,39.0,Adamant dart(p+).png,Adamant dart(p+),272.0,1789635732.0,26.0,1789315523.0
A deadly poisoned dart with an adamant tip.,5640,True,26.0,11000.0,65.0,39.0,Adamant dart(p++).png,Adamant dart(p++),450.0,1789643467.0,350.0,1789637006.0
Do I look scary?,23270,True,4000.0,4.0,10000.0,6000.0,Adamant dragon mask.png,Adamant dragon mask,4290.0,1789490988.0,5555.0,1789653302.0
A woodcutter's axe.,28211,True,512.0,,1280.0,768.0,Adamant felling axe.png,Adamant felling axe,2200000.0,1789613487.0,1851777.0,1789536286.0
A full face helmet.,1161,False,1408.0,125.0,3520.0,2112.0,Adamant full helm.png,Adamant full helm,1744.0,1789653860.0,1744.0,1789654051.0
Adamant full helmet with gold trim.,2613,False,1408.0,8.0,3520.0,2112.0,Adamant full helm (g).png,Adamant full helm (g),12904.0,1789653451.0,13033.0,1789651556.0
Adamant full helmet with trim.,2605,False,1408.0,8.0,3520.0,2112.0,Adamant full helm (t).png,Adamant full helm (t),4188.0,1789626333.0,4296.0,1789651989.0
"A set containing a full helm, platebody, legs and kiteshield.",13020,False,3200.0,8.0,8000.0,4800.0,Adamant gold-trimmed set (lg).png,Adamant gold-trimmed set (lg),80000.0,1789654413.0,68541.0,1789651086.0
"A set containing a full helm, platebody, skirt and kiteshield.",13022,False,3200.0,8.0,8000.0,4800.0,Adamant gold-trimmed set (sk).png,Adamant gold-trimmed set (sk),66544.0,1789624735.0,48000.0,1789653034.0
An adamant halberd.,3200,True,2560.0,125.0,6400.0,3840.0,Adamant halberd.png,Adamant halberd,3068.0,1789652903.0,3067.0,1789654367.0
"An adamant-tipped, one-handed hasta.",11375,True,832.0,125.0,2080.0,1248.0,Adamant hasta.png,Adamant hasta,560.0,1789641888.0,396.0,1789632410.0
"A poison-tipped, one-handed adamantite hasta.",11407,True,832.0,125.0,2080.0,1248.0,Adamant hasta(p).png,Adamant hasta(p),4912.0,1789294950.0,1.0,1782194973.0
"A poison-tipped, one-handed adamantite hasta.",11410,True,832.0,125.0,2080.0,1248.0,Adamant hasta(p+).png,Adamant hasta(p+),5662.0,1788462659.0,2153.0,1773782535.0
"A poison-tipped, one-handed adamantite hasta.",11412,True,832.0,125.0,2080.0,1248.0,Adamant hasta(p++).png,Adamant hasta(p++),6201.0,1789494108.0,6579.0,1785595973.0
An adamant helmet with a heraldic design.,10296,False,1408.0,70.0,3520.0,2112.0,Adamant helm (h1).png,Adamant helm (h1),1455.0,1789652125.0,100.0,1789635326.0
An adamant helmet with a heraldic design.,10298,False,1408.0,70.0,3520.0,2112.0,Adamant helm (h2).png,Adamant helm (h2),3100.0,1789556433.0,2826.0,1789637289.0
An adamant helmet with a heraldic design.,10300,False,1408.0,70.0,3520.0,2112.0,Adamant helm (h3).png,Adamant helm (h3),24987.0,1789612005.0,4848.0,1789650999.0
An adamant helmet with a heraldic design.,10302,False,1408.0,70.0,3520.0,2112.0,Adamant helm (h4).png,Adamant helm (h4),2305.0,1789504308.0,3721.0,1789652997.0
An adamant helmet with a heraldic design.,10304,False,1408.0,70.0,3520.0,2112.0,Adamant helm (h5).png,Adamant helm (h5),2397.0,1789596436.0,2338.0,1789647777.0
Ammo suited for a boat's cannon.,31940,True,144.0,,360.0,216.0,Adamant incendiary cannonball.png,Adamant incendiary cannonball,1192.0,1789651388.0,1073.0,1789652657.0
An adamant tipped javelin.,829,True,64.0,11000.0,160.0,96.0,Adamant javelin.png,Adamant javelin,49.0,1789652489.0,49.0,1789654404.0
Needs a shaft.,19578,True,176.0,10000.0,440.0,264.0,Adamant javelin tips 5.png,Adamant javelin tips,304.0,1789651605.0,266.0,1789653203.0
An adamant tipped javelin.,835,True,64.0,11000.0,160.0,96.0,Adamant javelin(p).png,Adamant javelin(p),75000.0,1789431543.0,70001.0,1789436131.0
An adamant tipped javelin.,5646,True,64.0,11000.0,160.0,96.0,Adamant javelin(p+).png,Adamant javelin(p+),216.0,1788827961.0,830.0,1769105327.0
An adamant tipped javelin.,5652,True,64.0,11000.0,160.0,96.0,Adamant javelin(p++).png,Adamant javelin(p++),300.0,1788457790.0,10.0,1789478645.0
Parts for creating an adamant keel for a boat.,32011,True,1250.0,100.0,3125.0,1875.0,Adamant keel parts.png,Adamant keel parts,6907.0,1789654183.0,6885.0,1789654254.0
A large metal shield.,1199,False,2176.0,125.0,5440.0,3264.0,Adamant kiteshield.png,Adamant kiteshield,3050.0,1789652018.0,3020.0,1789654412.0
Adamant kiteshield with gold trim.,2611,False,2176.0,8.0,5440.0,3264.0,Adamant kiteshield (g).png,Adamant kiteshield (g),13658.0,1789649134.0,13658.0,1789650537.0
Adamant kiteshield with trim.,2603,False,2176.0,8.0,5440.0,3264.0,Adamant kiteshield (t).png,Adamant kiteshield (t),2995.0,1789651745.0,2600.0,1789650270.0
A finely balanced throwing knife.,867,True,26.0,11000.0,66.0,39.0,Adamant knife.png,Adamant knife,400.0,1789647493.0,368.0,1789654276.0
A finely balanced throwing knife.,875,True,26.0,11000.0,66.0,39.0,Adamant knife(p).png,Adamant knife(p),1200.0,1789598404.0,15.0,1789598615.0
A finely balanced throwing knife.,5659,True,26.0,7000.0,66.0,39.0,Adamant knife(p+).png,Adamant knife(p+),866.0,1789170831.0,1001.0,1788328288.0
A finely balanced throwing knife.,5666,True,26.0,7000.0,66.0,39.0,Adamant knife(p++).png,Adamant knife(p++),608.0,1789505515.0,4.0,1789335808.0
A razor sharp longsword.,1301,False,1280.0,125.0,3200.0,1920.0,Adamant longsword.png,Adamant longsword,1748.0,1789651112.0,1488.0,1789654181.0
A spiky mace.,1430,False,576.0,125.0,1440.0,864.0,Adamant mace.png,Adamant mace,592.0,1789654261.0,592.0,1789654283.0
A medium sized helmet.,1145,False,768.0,125.0,1920.0,1152.0,Adamant med helm.png,Adamant med helm,902.0,1789654133.0,867.0,1789653493.0
Used for mining.,1271,False,1280.0,40.0,3200.0,1920.0,Adamant pickaxe.png,Adamant pickaxe,1723.0,1789654364.0,1554.0,1789654357.0
Provides excellent protection.,1123,False,6656.0,125.0,16640.0,9984.0,Adamant platebody.png,Adamant platebody,9477.0,1789654282.0,9408.0,1789654434.0
Adamant platebody with gold trim.,2607,False,6656.0,8.0,16640.0,9984.0,Adamant platebody (g).png,Adamant platebody (g),24034.0,1789645786.0,21099.0,1789653045.0
Adamant platebody with a heraldic design.,23392,False,6656.0,8.0,16640.0,9984.0,Adamant platebody (h1).png,Adamant platebody (h1),9249.0,1789651252.0,9249.0,1789650144.0
Adamant platebody with a heraldic design.,23395,False,6656.0,8.0,16640.0,9984.0,Adamant platebody (h2).png,Adamant platebody (h2),9442.0,1789583638.0,9069.0,1789650949.0
Adamant platebody with a heraldic design.,23398,False,6656.0,8.0,16640.0,9984.0,Adamant platebody (h3).png,Adamant platebody (h3),9225.0,1789650574.0,9062.0,1789649584.0
Adamant platebody with a heraldic design.,23401,False,6656.0,8.0,16640.0,9984.0,Adamant platebody (h4).png,Adamant platebody (h4),9328.0,1789650362.0,9175.0,1789653597.0
Adamant platebody with a heraldic design.,23404,False,6656.0,8.0,16640.0,9984.0,Adamant platebody (h5).png,Adamant platebody (h5),9233.0,1789615906.0,9750.0,1789650993.0
Adamant platebody with trim.,2599,False,6656.0,8.0,16640.0,9984.0,Adamant platebody (t).png,Adamant platebody (t),9899.0,1789617302.0,9777.0,1789633111.0
These look pretty heavy.,1073,False,2560.0,125.0,6400.0,3840.0,Adamant platelegs.png,Adamant platelegs,3650.0,1789654110.0,3305.0,1789654411.0
Adamant platelegs with gold trim.,2609,False,2560.0,8.0,6400.0,3840.0,Adamant platelegs (g).png,Adamant platelegs (g),24352.0,1789645836.0,12500.0,1789647746.0
Adamant platelegs with trim.,2601,False,2560.0,8.0,6400.0,3840.0,Adamant platelegs (t).png,Adamant platelegs (t),12500.0,1789617416.0,3633.0,1789651286.0
Designer leg protection.,1091,False,2560.0,125.0,6400.0,3840.0,Adamant plateskirt.png,Adamant plateskirt,3282.0,1789653805.0,3380.0,1789654248.0
Adamant plateskirt with gold trim.,3475,False,2560.0,8.0,6400.0,3840.0,Adamant plateskirt (g).png,Adamant plateskirt (g),6499.0,1789586880.0,3700.0,1789653042.0
Adamant plateskirt with trim.,3474,False,2560.0,8.0,6400.0,3840.0,Adamant plateskirt (t).png,Adamant plateskirt (t),4747.0,1789617302.0,4747.0,1789650813.0
"A vicious, curved sword.",1331,False,1024.0,125.0,2560.0,1536.0,Adamant scimitar.png,Adamant scimitar,2000.0,1789654129.0,1598.0,1789654223.0
Magical seeds in an adamant case.,29458,True,120.0,18000.0,300.0,180.0,Adamant seeds.png,Adamant seeds,106.0,1789653696.0,100.0,1789654358.0
"A set containing a full helm, platebody, legs and kiteshield.",13012,False,3200.0,8.0,8000.0,4800.0,Adamant set (lg).png,Adamant set (lg),18069.0,1789654357.0,18000.0,1789653439.0
"A set containing a full helm, platebody, skirt and kiteshield.",13014,False,3200.0,8.0,8000.0,4800.0,Adamant set (sk).png,Adamant set (sk),30000.0,1789644659.0,19924.0,1789548052.0
A shield with a heraldic design,7334,False,2176.0,70.0,5440.0,3264.0,Adamant shield (h1).png,Adamant shield (h1),6535.0,1789646749.0,2814.0,1789652935.0
A shield with a heraldic design,7340,False,2176.0,70.0,5440.0,3264.0,Adamant shield (h2).png,Adamant shield (h2),2679.0,1789236391.0,2839.0,1789652909.0
A shield with a heraldic design,7346,False,2176.0,70.0,5440.0,3264.0,Adamant shield (h3).png,Adamant shield (h3),2685.0,1789331461.0,2866.0,1789653396.0
A shield with a heraldic design,7352,False,2176.0,70.0,5440.0,3264.0,Adamant shield (h4).png,Adamant shield (h4),2943.0,1789636089.0,2854.0,1789653668.0
A shield with a heraldic design,7358,False,2176.0,70.0,5440.0,3264.0,Adamant shield (h5).png,Adamant shield (h5),2508.0,1789604521.0,2702.0,1789648372.0
An adamantite tipped spear.,1245,True,832.0,125.0,2080.0,1248.0,Adamant spear.png,Adamant spear,1100.0,1789651309.0,800.0,1789654209.0
A poisoned adamantite tipped spear.,1259,True,832.0,125.0,2080.0,1248.0,Adamant spear(p).png,Adamant spear(p),585.0,1789654112.0,577.0,1789651404.0
A poisoned adamantite tipped spear.,5712,True,832.0,125.0,2080.0,1248.0,Adamant spear(p+).png,Adamant spear(p+),2000.0,1789599395.0,668.0,1788107960.0
A poisoned adamantite tipped spear.,5726,True,832.0,125.0,2080.0,1248.0,Adamant spear(p++).png,Adamant spear(p++),7043.0,1789437873.0,15.0,1788335660.0
A medium square shield.,1183,False,1536.0,125.0,3840.0,2304.0,Adamant sq shield.png,Adamant sq shield,4000.0,1789654395.0,2000.0,1789654267.0
A razor sharp sword.,1287,False,832.0,125.0,2080.0,1248.0,Adamant sword.png,Adamant sword,1111.0,1789653732.0,1000.0,1789654164.0
A finely balanced throwing axe.,804,True,70.0,11000.0,176.0,105.0,Adamant thrownaxe.png,Adamant thrownaxe,276.0,1789604289.0,272.0,1789587689.0
"A set containing a full helm, platebody, legs and kiteshield.",13016,False,3200.0,8.0,8000.0,4800.0,Adamant trimmed set (lg).png,Adamant trimmed set (lg),38000.0,1789637975.0,38000.0,1789616650.0
"A set containing a full helm, platebody, skirt and kiteshield.",13018,False,3200.0,8.0,8000.0,4800.0,Adamant trimmed set (sk).png,Adamant trimmed set (sk),36104.0,1789325510.0,26000.0,1788856086.0
I don't think it's intended for joinery.,1345,False,1648.0,125.0,4120.0,2472.0,Adamant warhammer.png,Adamant warhammer,2733.0,1789653102.0,2530.0,1789653916.0
It's a bar of adamantite.,2361,False,256.0,10000.0,640.0,384.0,Adamantite bar.png,Adamantite bar,1894.0,1789654413.0,1870.0,1789654434.0
A pair of adamantite crossbow limbs.,9429,True,640.0,10000.0,1600.0,960.0,Adamantite limbs.png,Adamantite limbs,1000.0,1789598065.0,882.0,1789533842.0
Keeps things in place fairly permanently.,4823,True,18.0,13000.0,45.0,27.0,Adamantite nails.png,Adamantite nails,120.0,1789654336.0,110.0,1789654428.0
This needs refining.,449,False,160.0,4500.0,400.0,240.0,Adamantite ore.png,Adamantite ore,589.0,1789654432.0,570.0,1789654262.0
Much tastier than a normal fish pie.,7198,True,124.0,10000.0,310.0,186.0,Admiral pie.png,Admiral pie,135.0,1789654358.0,115.0,1789650964.0
A piece of the cosmos' soul? Or souls belonging to the cosmos?,30771,True,80.0,25000.0,200.0,120.0,Aether catalyst.png,Aether catalyst,365.0,1789653898.0,360.0,1789654421.0
A combined cosmic and soul rune.,30843,True,120.0,25000.0,300.0,180.0,Aether rune.png,Aether rune,793.0,1789654293.0,773.0,1789653828.0
Wild!,12430,True,273.0,4.0,684.0,410.0,Afro.png,Afro,35000.0,1789652322.0,33019.0,1789650813.0
One dose of fishy Agility potion.,11463,True,20.0,2000.0,50.0,30.0,Agility mix(1).png,Agility mix(1),1000.0,1789598360.0,1000.0,1789321082.0
Two doses of fishy Agility potion.,11461,True,40.0,2000.0,100.0,60.0,Agility mix(2).png,Agility mix(2),267.0,1789636352.0,267.0,1789641274.0
1 dose of Agility potion.,3038,True,20.0,2000.0,50.0,30.0,Agility potion(1).png,Agility potion(1),95.0,1789647324.0,15.0,1789626185.0
2 doses of Agility potion.,3036,True,40.0,2000.0,100.0,60.0,Agility potion(2).png,Agility potion(2),163.0,1789629699.0,85.0,1789631658.0
3 doses of Agility potion.,3034,True,60.0,2000.0,150.0,90.0,Agility potion(3).png,Agility potion(3),191.0,1789651533.0,186.0,1789651566.0
4 doses of Agility potion.,3032,True,80.0,2000.0,200.0,120.0,Agility potion(4).png,Agility potion(4),544.0,1789654226.0,365.0,1789653399.0
"A set containing an Ahrim's hood, robetop, robeskirt and staff.",12881,True,80000.0,8.0,200000.0,120000.0,Ahrim's armour set.png,Ahrim's armour set,3627998.0,1789654304.0,3553348.0,1789648834.0
Ahrim the Blighted's leather hood.,4708,True,5200.0,15.0,13000.0,7800.0,Ahrim's hood.png,Ahrim's hood,478282.0,1789654329.0,425994.0,1789654311.0
Ahrim the Blighted's leather hood.,4860,True,5200.0,15.0,13000.0,7800.0,Ahrim's hood 0.png,Ahrim's hood 0,335135.0,1789578850.0,372950.0,1789647305.0
Ahrim the Blighted's armoured robe skirt.,4714,True,18800.0,15.0,47000.0,28200.0,Ahrim's robeskirt.png,Ahrim's robeskirt,1451368.0,1789654312.0,1451368.0,1789653720.0
Ahrim the Blighted's armoured robe skirt.,4878,True,18800.0,15.0,47000.0,28200.0,Ahrim's robeskirt 0.png,Ahrim's robeskirt 0,1378854.0,1789646590.0,1362000.0,1789653554.0
Ahrim the Blighted's armoured robe top.,4712,True,20000.0,15.0,50000.0,30000.0,Ahrim's robetop.png,Ahrim's robetop,1485240.0,1789654309.0,1447219.0,1789653401.0
Ahrim the Blighted's armoured robe top.,4872,True,20000.0,15.0,50000.0,30000.0,Ahrim's robetop 0.png,Ahrim's robetop 0,1400000.0,1789646613.0,1367200.0,1789654035.0
Ahrim the Blighted's quarterstaff.,4710,True,34000.0,15.0,85000.0,51000.0,Ahrim's staff.png,Ahrim's staff,139899.0,1789654331.0,131500.0,1789654034.0
Ahrim the Blighted's quarterstaff.,4866,True,34000.0,15.0,85000.0,51000.0,Ahrim's staff 0.png,Ahrim's staff 0,75072.0,1789629676.0,79150.0,1789654069.0
It's a slightly magical stick.,1397,True,6200.0,18000.0,15500.0,9300.0,Air battlestaff.png,Air battlestaff,8801.0,1789654073.0,8782.0,1789654434.0
I wonder if I could use this to dry clothes quicker.,34404,True,8000.0,,20000.0,12000.0,Air diamond.png,Air diamond,249982.0,1789652862.0,250000.0,1789651176.0
A magic glowing orb.,573,True,120.0,11000.0,300.0,180.0,Air orb.png,Air orb,1452.0,1789654363.0,1421.0,1789654296.0
One of the 4 basic elemental Runes.,556,False,1.0,50000.0,4.0,2.0,Air rune.png,Air rune,6.0,1789654429.0,5.0,1789654378.0
A mysterious power emanates from the talisman...,1438,False,1.0,11000.0,4.0,2.0,Air talisman.png,Air talisman,157.0,1789653731.0,157.0,1789654367.0
